Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
9095,Balmore Gonzalez,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
9099,Gustavo Adolfo Guerra,4,13,22,5,16,7,5,3,0,2,5,15,10,3,4
9103,Julio Gutierrez,6,12,11,12,4,5,7,6,1,2,5,24,318,155,21
9107,Barlaham Henao,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
9111,Jose Eduardo Hernandez,33,24,52,19,20,26,18,11,9,6,19,28,161,24,5
9115,Aquiles Arturo Huertas,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0
9119,Pedro Nel Jimenez,8,9,5,4,5,4,4,7,2,8,5,6,12,2,0
9123,Pedro Vicente Lopez,11,16,10,10,7,6,8,5,4,3,7,24,13,20,3
9127,Jaime Lozada,23,2,1,3,9,5,6,9,41,6,7,21,7,5,5
9131,Orlando Martinez,8,11,9,12,5,0,5,6,5,5,12,22,9,11,1
9135,Yimmy Antonio Mejia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9139,Aurelio Mejia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9143,Plinio Mendoza,10,10,12,5,6,11,8,4,9,8,8,9,8,7,13
9147,Luis Bernabe Montoya,6,1,4,2,2,2,2,1,1,1,2,4,20,5,2
9151,Jose Gustavo Moreno,83,104,56,25,15,25,28,43,25,17,45,65,47,34,45
9155,Eladio Mosquera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9159,Maria Jabzbleidy Nemocon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9163,Jorge Antonio Onate,41,24,23,21,18,10,26,15,17,19,44,46,29,41,13
9167,Javier Leon Oyaga,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0
9171,Carlos Manuel Palacios,17,20,14,15,6,17,26,13,9,9,16,12,18,18,5
9175,Alfonso Parra,15,15,16,8,3,7,5,3,2,5,0,9,1,0,1
9179,Carlos Hernando Pinilla,28,32,14,7,7,6,7,16,5,8,32,23,12,11,8
9183,Boris De Jesus Polo,12,4,0,0,3,4,0,0,0,0,4,1,3,1,0
9187,Jaime Ramirez,16,23,15,12,13,6,8,3,3,5,12,10,6,10,4
9191,Gloria Rosalba Ramirez,162,131,150,293,319,86,91,88,55,55,103,167,206,130,84
9195,Jesus Manuel Rangel,0,1,0,0,0,0,0,2,2,0,1,8,6,4,0
9199,Lorenzo Rivera,2,0,0,2,3,3,0,0,1,0,0,2,1,1,0
9203,Camilo Orlando Rodriguez,6,12,24,8,4,2,4,7,1,6,8,40,19,16,18
9207,Edgar Antonio Ruiz,3,6,2,4,10,4,9,14,22,39,40,13,9,13,0
9211,Guillermo Antonio Sagra,4,0,1,0,0,0,0,0,1,1,0,0,3,3,0
9215,Freddy William Sanchez,9,7,3,6,4,6,0,4,6,3,21,5,3,5,0
9219,Orlando Santiesteban,0,0,1,3,0,0,6,8,8,2,8,14,5,6,3
9223,Alberto Antonio Serrano,2,1,1,3,1,0,2,1,0,2,0,1,1,1,2
9227,John Mario Tejada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9231,Jose Leonel Torres,42,19,18,8,7,3,18,21,2,4,9,13,8,19,9
9235,Javier Mauricio Torres,4,5,1,2,8,5,5,4,5,5,17,17,13,30,2
